"Host.Species","Lake","Year","Julian.Day","Total","pasteuria.inf","metsch.inf","scarlet.inf","brood.inf","larssonia.inf","spider.inf","gurleya.inf","pasteuria.prev","metsch.prev","scarlet.prev","brood.prev","larssonia.prev","spider.prev","gurleya.prev","Density"
"ambigua","Walsh","2015",2015194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Mill","2015",2015194,119,0,0,1,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,43860.4
"ambigua","CrookedP","2015",2015195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900.1
"ambigua","Bishop","2015",2015202,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ambigua","Gosling","2015",2015203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ambigua","Woodland","2015",2015205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ambigua","Mill","2015",2015208,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167701.4
"ambigua","CrookedP","2015",2015209,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Bishop","2015",2015215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Gosling","2015",2015216,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610.1
"ambigua","Walsh","2015",2015219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Mill","2015",2015219,61,0,2,0,0,0,0,0,0,0.0327868852459016,0,0,0,0,0,19350.2
"ambigua","CrookedP","2015",2015223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ambigua","LittleAppleton","2015",2015229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Gosling","2015",2015232,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Woodland","2015",2015233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","CrookedP","2015",2015237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ambigua","North","2015",2015237,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ambigua","Gosling","2015",2015244,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ambigua","Mill","2015",2015251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","North","2015",2015252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211.4
"ambigua","Bishop","2015",2015257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","LittleAppleton","2015",2015257,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Gosling","2015",2015259,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","CrookedP","2015",2015266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Gosling","2015",2015271,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9288.1
"ambigua","Bishop","2015",2015273,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Bishop","2015",2015285,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ambigua","Gosling","2015",2015287,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160
"ambigua","Gosling","2015",2015299,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900.1
"ambigua","Bishop","2015",2015301,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Gosling","2015",2015313,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700.3
"ambigua","LittleAppleton","2015",2015315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ambigua","Bishop","2015",2015315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290
"ambigua","Woodland","2015",2015317,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Walsh","2015",2015194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Mill","2015",2015194,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19350.2
"ceriodaphnia","North","2015",2015195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Bruin","2015",2015195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","CrookedP","2015",2015195,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59985.5
"ceriodaphnia","Cedar","2015",2015197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","CrookedW","2015",2015197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ceriodaphnia","LittleAppleton","2015",2015202,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"ceriodaphnia","Gosling","2015",2015203,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944287.7
"ceriodaphnia","Sullivan","2015",2015203,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Pickerel","2015",2015203,209,0,0,0,4,0,0,0,0,0,0,0.0191387559808612,0,0,0,286382.3
"ceriodaphnia","Whitmore","2015",2015205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Woodland","2015",2015205,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296702.4
"ceriodaphnia","Walsh","2015",2015208,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Mill","2015",2015208,85,0,0,0,3,0,0,0,0,0,0,0.0352941176470588,0,0,0,79980.6
"ceriodaphnia","North","2015",2015209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"ceriodaphnia","CrookedP","2015",2015209,204,0,0,0,3,0,0,0,0,0,0,0.0147058823529412,0,0,0,224461.8
"ceriodaphnia","Cedar","2015",2015211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"ceriodaphnia","CrookedW","2015",2015211,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75852.6
"ceriodaphnia","Bishop","2015",2015215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","LittleAppleton","2015",2015215,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127711
"ceriodaphnia","Gosling","2015",2015216,443,1,0,0,1,0,0,0,0.00225733634311512,0,0,0.00225733634311512,0,0,0,1652503.4
"ceriodaphnia","Sullivan","2015",2015216,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33540.3
"ceriodaphnia","Pickerel","2015",2015216,209,1,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,208981.7
"ceriodaphnia","Woodland","2015",2015218,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5348383.5
"ceriodaphnia","Whitmore","2015",2015218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"ceriodaphnia","Walsh","2015",2015219,51,0,0,0,1,0,0,0,0,0,0,0.0196078431372549,0,0,0,7740.1
"ceriodaphnia","Mill","2015",2015219,144,8,0,0,9,0,0,0,0.0555555555555556,0,0,0.0625,0,0,0,69660.6
"ceriodaphnia","North","2015",2015223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","CrookedP","2015",2015223,211,0,0,0,5,0,0,0,0,0,0,0.023696682464455,0,0,0,105780.9
"ceriodaphnia","CrookedW","2015",2015226,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
