"Year","Lake","Host.Species","AUC.density","Log.AUC.density"
"2014","Mill","ceriodaphnia",5020449.85,15.4290300992068
"2014","Mill","dentifera",24964682.6,17.0329726880367
"2014","Mill","retrocurva",60701622.2,17.9214809805491
"2014","Mill","pulicaria",0,-Inf
"2014","Mill","dubia",0,-Inf
"2014","Mill","parvula",5743604.8,15.5635975851148
"2014","Mill","ambigua",0,-Inf
"2014","Mill","mendotae",0,-Inf
"2014","Walsh","ceriodaphnia",5694383.65,15.554990922492
"2014","Walsh","dentifera",99148192.1,18.4121261787749
"2014","Walsh","pulicaria",0,-Inf
"2014","Walsh","retrocurva",176687,12.082135084577
"2014","Walsh","dubia",0,-Inf
"2014","Walsh","parvula",1501214.2,14.2217848052977
"2014","Walsh","ambigua",0,-Inf
"2014","Walsh","mendotae",0,-Inf
"2014","Cedar","ceriodaphnia",1109086.1,13.9190469008301
"2014","Cedar","dentifera",69765056.5,18.0606438191698
"2014","Cedar","dubia",1290140.9,14.0702619951795
"2014","Cedar","pulicaria",1240667.7,14.0311602604014
"2014","Cedar","retrocurva",33767960,17.3350229818903
"2014","Cedar","parvula",0,-Inf
"2014","Cedar","ambigua",0,-Inf
"2014","Cedar","mendotae",0,-Inf
"2014","CrookedW","ceriodaphnia",592597.5,13.2922706954154
"2014","CrookedW","dentifera",53016979.25,17.7861227834186
"2014","CrookedW","dubia",14073033.55,16.4597710099736
"2014","CrookedW","retrocurva",33652341.55,17.3315931970724
"2014","CrookedW","pulicaria",0,-Inf
"2014","CrookedW","parvula",0,-Inf
"2014","CrookedW","ambigua",0,-Inf
"2014","CrookedW","mendotae",0,-Inf
"2014","Appleton","dentifera",22201037.5,16.9156495799847
"2014","Appleton","dubia",2560454.5,14.7556953397601
"2014","Appleton","pulicaria",28913015.85,17.1798024271266
"2014","Appleton","retrocurva",10000007.1,16.1180963609581
"2014","Appleton","ceriodaphnia",27765.1,10.231535115326
"2014","Appleton","parvula",0,-Inf
"2014","Appleton","ambigua",0,-Inf
"2014","Appleton","mendotae",0,-Inf
"2014","Bishop","ambigua",455374.1,13.0288745579158
"2014","Bishop","dentifera",28447954.95,17.1635868337034
"2014","Bishop","dubia",8909458.4,16.0026240119654
"2014","Bishop","pulicaria",469562.6,13.0595569020757
"2014","Bishop","retrocurva",60090624,17.9113643806796
"2014","Bishop","ceriodaphnia",7680721.7,15.854224072063
"2014","Bishop","parvula",0,-Inf
"2014","Bishop","mendotae",0,-Inf
"2014","LittleAppleton","ceriodaphnia",28271893.4,17.1573787030195
"2014","LittleAppleton","dentifera",254289918.4,19.3539855850921
"2014","LittleAppleton","pulicaria",54899.9,10.9132668060023
"2014","LittleAppleton","retrocurva",268187.3,12.4994408959867
"2014","LittleAppleton","dubia",82664.9,11.3225503652829
"2014","LittleAppleton","parvula",1777601.9,14.3907757667238
"2014","LittleAppleton","ambigua",111060.4,11.6178294764459
"2014","LittleAppleton","mendotae",0,-Inf
"2014","Whitmore","pulicaria",12300249.35,16.3251300924949
