"","Year","Lake","Parasite.Species","Focal.Host","Other.Host","AUC.prev"
"1","2014","Walsh","pasteuria","ceriodaphnia","ceriodaphnia",10927.8293838863
"2","2014","Walsh","pasteuria","ceriodaphnia","pulicaria",0
"3","2014","Walsh","pasteuria","ceriodaphnia","retrocurva",0
"4","2014","Walsh","pasteuria","ceriodaphnia","dubia",0
"5","2014","Walsh","pasteuria","ceriodaphnia","parvula",0
"6","2014","Walsh","pasteuria","ceriodaphnia","ambigua",0
"7","2014","Walsh","pasteuria","ceriodaphnia","mendotae",0
"8","2014","Walsh","pasteuria","ceriodaphnia","dentifera",18288.9035326368
"9","2014","Walsh","pasteuria","pulicaria","ceriodaphnia",0
"10","2014","Walsh","pasteuria","pulicaria","pulicaria",0
"11","2014","Walsh","pasteuria","pulicaria","retrocurva",0
"12","2014","Walsh","pasteuria","pulicaria","dubia",0
"13","2014","Walsh","pasteuria","pulicaria","parvula",0
"14","2014","Walsh","pasteuria","pulicaria","ambigua",0
"15","2014","Walsh","pasteuria","pulicaria","mendotae",0
"16","2014","Walsh","pasteuria","pulicaria","dentifera",0
"17","2014","Walsh","pasteuria","retrocurva","ceriodaphnia",0
"18","2014","Walsh","pasteuria","retrocurva","pulicaria",0
"19","2014","Walsh","pasteuria","retrocurva","retrocurva",0
"20","2014","Walsh","pasteuria","retrocurva","dubia",0
"21","2014","Walsh","pasteuria","retrocurva","parvula",0
"22","2014","Walsh","pasteuria","retrocurva","ambigua",0
"23","2014","Walsh","pasteuria","retrocurva","mendotae",0
"24","2014","Walsh","pasteuria","retrocurva","dentifera",0
"25","2014","Walsh","pasteuria","dubia","ceriodaphnia",0
"26","2014","Walsh","pasteuria","dubia","pulicaria",0
"27","2014","Walsh","pasteuria","dubia","retrocurva",0
"28","2014","Walsh","pasteuria","dubia","dubia",0
"29","2014","Walsh","pasteuria","dubia","parvula",0
"30","2014","Walsh","pasteuria","dubia","ambigua",0
"31","2014","Walsh","pasteuria","dubia","mendotae",0
"32","2014","Walsh","pasteuria","dubia","dentifera",0
"33","2014","Walsh","pasteuria","parvula","ceriodaphnia",0
"34","2014","Walsh","pasteuria","parvula","pulicaria",0
"35","2014","Walsh","pasteuria","parvula","retrocurva",0
"36","2014","Walsh","pasteuria","parvula","dubia",0
"37","2014","Walsh","pasteuria","parvula","parvula",0
"38","2014","Walsh","pasteuria","parvula","ambigua",0
"39","2014","Walsh","pasteuria","parvula","mendotae",0
"40","2014","Walsh","pasteuria","parvula","dentifera",0
"41","2014","Walsh","pasteuria","ambigua","ceriodaphnia",0
"42","2014","Walsh","pasteuria","ambigua","pulicaria",0
"43","2014","Walsh","pasteuria","ambigua","retrocurva",0
"44","2014","Walsh","pasteuria","ambigua","dubia",0
"45","2014","Walsh","pasteuria","ambigua","parvula",0
"46","2014","Walsh","pasteuria","ambigua","ambigua",0
"47","2014","Walsh","pasteuria","ambigua","mendotae",0
"48","2014","Walsh","pasteuria","ambigua","dentifera",0
"49","2014","Walsh","pasteuria","mendotae","ceriodaphnia",0
"50","2014","Walsh","pasteuria","mendotae","pulicaria",0
"51","2014","Walsh","pasteuria","mendotae","retrocurva",0
"52","2014","Walsh","pasteuria","mendotae","dubia",0
"53","2014","Walsh","pasteuria","mendotae","parvula",0
"54","2014","Walsh","pasteuria","mendotae","ambigua",0
"55","2014","Walsh","pasteuria","mendotae","mendotae",0
"56","2014","Walsh","pasteuria","mendotae","dentifera",0
"57","2014","Walsh","pasteuria","dentifera","ceriodaphnia",18288.9035326368
"58","2014","Walsh","pasteuria","dentifera","pulicaria",0
"59","2014","Walsh","pasteuria","dentifera","retrocurva",0
"60","2014","Walsh","pasteuria","dentifera","dubia",0
"61","2014","Walsh","pasteuria","dentifera","parvula",0
"62","2014","Walsh","pasteuria","dentifera","ambigua",0
"63","2014","Walsh","pasteuria","dentifera","mendotae",0
"64","2014","Walsh","pasteuria","dentifera","dentifera",305278.394858879
