"Year","Lake","Focal.Host","Other.Host","AUC.Shared.Density"
"2014","Mill","ceriodaphnia","ceriodaphnia",5020449.85
"2014","Mill","ceriodaphnia","dentifera",2820690.05
"2014","Mill","ceriodaphnia","retrocurva",3350752.45
"2014","Mill","ceriodaphnia","pulicaria",0
"2014","Mill","ceriodaphnia","dubia",0
"2014","Mill","ceriodaphnia","parvula",1882983.65
"2014","Mill","ceriodaphnia","ambigua",0
"2014","Mill","ceriodaphnia","mendotae",0
"2014","Mill","dentifera","ceriodaphnia",2820690.05
"2014","Mill","dentifera","dentifera",24964682.6
"2014","Mill","dentifera","retrocurva",24487625.6
"2014","Mill","dentifera","pulicaria",0
"2014","Mill","dentifera","dubia",0
"2014","Mill","dentifera","parvula",5452070.2
"2014","Mill","dentifera","ambigua",0
"2014","Mill","dentifera","mendotae",0
"2014","Mill","retrocurva","ceriodaphnia",3350752.45
"2014","Mill","retrocurva","dentifera",24487625.6
"2014","Mill","retrocurva","retrocurva",60701622.2
"2014","Mill","retrocurva","pulicaria",0
"2014","Mill","retrocurva","dubia",0
"2014","Mill","retrocurva","parvula",5743604.8
"2014","Mill","retrocurva","ambigua",0
"2014","Mill","retrocurva","mendotae",0
"2014","Mill","pulicaria","ceriodaphnia",0
"2014","Mill","pulicaria","dentifera",0
"2014","Mill","pulicaria","retrocurva",0
"2014","Mill","pulicaria","pulicaria",0
"2014","Mill","pulicaria","dubia",0
"2014","Mill","pulicaria","parvula",0
"2014","Mill","pulicaria","ambigua",0
"2014","Mill","pulicaria","mendotae",0
"2014","Mill","dubia","ceriodaphnia",0
"2014","Mill","dubia","dentifera",0
"2014","Mill","dubia","retrocurva",0
"2014","Mill","dubia","pulicaria",0
"2014","Mill","dubia","dubia",0
"2014","Mill","dubia","parvula",0
"2014","Mill","dubia","ambigua",0
"2014","Mill","dubia","mendotae",0
"2014","Mill","parvula","ceriodaphnia",1882983.65
"2014","Mill","parvula","dentifera",5452070.2
"2014","Mill","parvula","retrocurva",5743604.8
"2014","Mill","parvula","pulicaria",0
"2014","Mill","parvula","dubia",0
"2014","Mill","parvula","parvula",5743604.8
"2014","Mill","parvula","ambigua",0
"2014","Mill","parvula","mendotae",0
"2014","Mill","ambigua","ceriodaphnia",0
"2014","Mill","ambigua","dentifera",0
"2014","Mill","ambigua","retrocurva",0
"2014","Mill","ambigua","pulicaria",0
"2014","Mill","ambigua","dubia",0
"2014","Mill","ambigua","parvula",0
"2014","Mill","ambigua","ambigua",0
"2014","Mill","ambigua","mendotae",0
"2014","Mill","mendotae","ceriodaphnia",0
"2014","Mill","mendotae","dentifera",0
"2014","Mill","mendotae","retrocurva",0
"2014","Mill","mendotae","pulicaria",0
"2014","Mill","mendotae","dubia",0
"2014","Mill","mendotae","parvula",0
"2014","Mill","mendotae","ambigua",0
"2014","Mill","mendotae","mendotae",0
"2014","Walsh","ceriodaphnia","ceriodaphnia",5694383.65
"2014","Walsh","ceriodaphnia","dentifera",5694383.65
"2014","Walsh","ceriodaphnia","pulicaria",0
"2014","Walsh","ceriodaphnia","retrocurva",97178.2
"2014","Walsh","ceriodaphnia","dubia",0
"2014","Walsh","ceriodaphnia","parvula",1501214.2
"2014","Walsh","ceriodaphnia","ambigua",0
"2014","Walsh","ceriodaphnia","mendotae",0
"2014","Walsh","dentifera","ceriodaphnia",5694383.65
"2014","Walsh","dentifera","dentifera",99148192.1
"2014","Walsh","dentifera","pulicaria",0
"2014","Walsh","dentifera","retrocurva",176687
"2014","Walsh","dentifera","dubia",0
"2014","Walsh","dentifera","parvula",1501214.2
"2014","Walsh","dentifera","ambigua",0
"2014","Walsh","dentifera","mendotae",0
"2014","Walsh","pulicaria","ceriodaphnia",0
"2014","Walsh","pulicaria","dentifera",0
"2014","Walsh","pulicaria","pulicaria",0
"2014","Walsh","pulicaria","retrocurva",0
"2014","Walsh","pulicaria","dubia",0
"2014","Walsh","pulicaria","parvula",0
"2014","Walsh","pulicaria","ambigua",0
"2014","Walsh","pulicaria","mendotae",0
"2014","Walsh","retrocurva","ceriodaphnia",97178.2
"2014","Walsh","retrocurva","dentifera",176687
"2014","Walsh","retrocurva","pulicaria",0
"2014","Walsh","retrocurva","retrocurva",176687
"2014","Walsh","retrocurva","dubia",0
"2014","Walsh","retrocurva","parvula",34075.35
"2014","Walsh","retrocurva","ambigua",0
"2014","Walsh","retrocurva","mendotae",0
"2014","Walsh","dubia","ceriodaphnia",0
"2014","Walsh","dubia","dentifera",0
"2014","Walsh","dubia","pulicaria",0
"2014","Walsh","dubia","retrocurva",0
"2014","Walsh","dubia","dubia",0
"2014","Walsh","dubia","parvula",0
"2014","Walsh","dubia","ambigua",0
"2014","Walsh","dubia","mendotae",0
"2014","Walsh","parvula","ceriodaphnia",1501214.2
"2014","Walsh","parvula","dentifera",1501214.2
"2014","Walsh","parvula","pulicaria",0
"2014","Walsh","parvula","retrocurva",34075.35
"2014","Walsh","parvula","dubia",0
"2014","Walsh","parvula","parvula",1501214.2
"2014","Walsh","parvula","ambigua",0
"2014","Walsh","parvula","mendotae",0
"2014","Walsh","ambigua","ceriodaphnia",0
"2014","Walsh","ambigua","dentifera",0
"2014","Walsh","ambigua","pulicaria",0
"2014","Walsh","ambigua","retrocurva",0
"2014","Walsh","ambigua","dubia",0
"2014","Walsh","ambigua","parvula",0
"2014","Walsh","ambigua","ambigua",0
"2014","Walsh","ambigua","mendotae",0
"2014","Walsh","mendotae","ceriodaphnia",0
"2014","Walsh","mendotae","dentifera",0
"2014","Walsh","mendotae","pulicaria",0
"2014","Walsh","mendotae","retrocurva",0
"2014","Walsh","mendotae","dubia",0
"2014","Walsh","mendotae","parvula",0
"2014","Walsh","mendotae","ambigua",0
"2014","Walsh","mendotae","mendotae",0
"2014","Cedar","ceriodaphnia","ceriodaphnia",1109086.1
"2014","Cedar","ceriodaphnia","dentifera",1109086.1
"2014","Cedar","ceriodaphnia","dubia",424733.95
"2014","Cedar","ceriodaphnia","pulicaria",706924.25
"2014","Cedar","ceriodaphnia","retrocurva",1109086.1
"2014","Cedar","ceriodaphnia","parvula",0
"2014","Cedar","ceriodaphnia","ambigua",0
"2014","Cedar","ceriodaphnia","mendotae",0
"2014","Cedar","dentifera","ceriodaphnia",1109086.1
"2014","Cedar","dentifera","dentifera",69765056.5
"2014","Cedar","dentifera","dubia",1290140.9
"2014","Cedar","dentifera","pulicaria",1240667.7
"2014","Cedar","dentifera","retrocurva",33001049.2
"2014","Cedar","dentifera","parvula",0
"2014","Cedar","dentifera","ambigua",0
"2014","Cedar","dentifera","mendotae",0
"2014","Cedar","dubia","ceriodaphnia",424733.95
"2014","Cedar","dubia","dentifera",1290140.9
"2014","Cedar","dubia","dubia",1290140.9
"2014","Cedar","dubia","pulicaria",831410.95
"2014","Cedar","dubia","retrocurva",1290140.9
"2014","Cedar","dubia","parvula",0
"2014","Cedar","dubia","ambigua",0
"2014","Cedar","dubia","mendotae",0
"2014","Cedar","pulicaria","ceriodaphnia",706924.25
"2014","Cedar","pulicaria","dentifera",1240667.7
"2014","Cedar","pulicaria","dubia",831410.95
"2014","Cedar","pulicaria","pulicaria",1240667.7
"2014","Cedar","pulicaria","retrocurva",1240667.7
"2014","Cedar","pulicaria","parvula",0
"2014","Cedar","pulicaria","ambigua",0
"2014","Cedar","pulicaria","mendotae",0
"2014","Cedar","retrocurva","ceriodaphnia",1109086.1
"2014","Cedar","retrocurva","dentifera",33001049.2
"2014","Cedar","retrocurva","dubia",1290140.9
"2014","Cedar","retrocurva","pulicaria",1240667.7
"2014","Cedar","retrocurva","retrocurva",33767960
"2014","Cedar","retrocurva","parvula",0
"2014","Cedar","retrocurva","ambigua",0
"2014","Cedar","retrocurva","mendotae",0
"2014","Cedar","parvula","ceriodaphnia",0
"2014","Cedar","parvula","dentifera",0
"2014","Cedar","parvula","dubia",0
"2014","Cedar","parvula","pulicaria",0
"2014","Cedar","parvula","retrocurva",0
"2014","Cedar","parvula","parvula",0
"2014","Cedar","parvula","ambigua",0
"2014","Cedar","parvula","mendotae",0
"2014","Cedar","ambigua","ceriodaphnia",0
"2014","Cedar","ambigua","dentifera",0
"2014","Cedar","ambigua","dubia",0
"2014","Cedar","ambigua","pulicaria",0
"2014","Cedar","ambigua","retrocurva",0
"2014","Cedar","ambigua","parvula",0
"2014","Cedar","ambigua","ambigua",0
"2014","Cedar","ambigua","mendotae",0
"2014","Cedar","mendotae","ceriodaphnia",0
"2014","Cedar","mendotae","dentifera",0
"2014","Cedar","mendotae","dubia",0
"2014","Cedar","mendotae","pulicaria",0
"2014","Cedar","mendotae","retrocurva",0
"2014","Cedar","mendotae","parvula",0
"2014","Cedar","mendotae","ambigua",0
"2014","Cedar","mendotae","mendotae",0
"2014","CrookedW","ceriodaphnia","ceriodaphnia",592597.5
"2014","CrookedW","ceriodaphnia","dentifera",592597.5
"2014","CrookedW","ceriodaphnia","dubia",592597.5
"2014","CrookedW","ceriodaphnia","retrocurva",592597.5
"2014","CrookedW","ceriodaphnia","pulicaria",0
"2014","CrookedW","ceriodaphnia","parvula",0
"2014","CrookedW","ceriodaphnia","ambigua",0
"2014","CrookedW","ceriodaphnia","mendotae",0
"2014","CrookedW","dentifera","ceriodaphnia",592597.5
"2014","CrookedW","dentifera","dentifera",53016979.25
"2014","CrookedW","dentifera","dubia",13732279.3
"2014","CrookedW","dentifera","retrocurva",32559088
"2014","CrookedW","dentifera","pulicaria",0
"2014","CrookedW","dentifera","parvula",0
"2014","CrookedW","dentifera","ambigua",0
"2014","CrookedW","dentifera","mendotae",0
"2014","CrookedW","dubia","ceriodaphnia",592597.5
"2014","CrookedW","dubia","dentifera",13732279.3
"2014","CrookedW","dubia","dubia",14073033.55
"2014","CrookedW","dubia","retrocurva",12340864.85
"2014","CrookedW","dubia","pulicaria",0
"2014","CrookedW","dubia","parvula",0
"2014","CrookedW","dubia","ambigua",0
"2014","CrookedW","dubia","mendotae",0
"2014","CrookedW","retrocurva","ceriodaphnia",592597.5
"2014","CrookedW","retrocurva","dentifera",32559088
"2014","CrookedW","retrocurva","dubia",12340864.85
